date,product,osherad_price,shufersal_price,diff,cheaper
2026-08-24,חלב 3% תנובה 1 ליטר,7.2,7.35,0.15,osherad
2026-08-24,קוטג' תנובה 5% 250 גרם,5.9,6.4,0.5,osherad
2026-08-24,טונה סטארקיסט בשמן 4X160 גרם,,26.9,,
2026-08-24,קפה נמס טסטרס צויס 200 גרם,35.9,39.9,4.0,osherad
2026-08-24,מגבות נייר ניקול 6 גלילים,10.9,13.9,3.0,osherad
2026-08-24,נייר טואלט לילי פסטל 32 גלילים,39.9,43.9,4.0,osherad
2026-08-24,ביצים L (מנורמל ל-12 יח'),13.07,15.48,2.41,osherad
2026-08-24,קוקה קולה זירו 1.5 ליטר,8.2,9.5,1.3,osherad
2026-08-25,חלב 3% תנובה 1 ליטר,,7.35,,
2026-08-25,קוטג' תנובה 5% 250 גרם,,6.4,,
2026-08-25,טונה סטארקיסט בשמן 4X160 גרם,,26.9,,
2026-08-25,קפה נמס טסטרס צויס 200 גרם,,39.9,,
2026-08-25,מגבות נייר ניקול 6 גלילים,,13.9,,
2026-08-25,נייר טואלט לילי פסטל 32 גלילים,,43.9,,
2026-08-25,ביצים L (מנורמל ל-12 יח'),,15.48,,
2026-08-25,קוקה קולה זירו 1.5 ליטר,,9.5,,
